124.3	123.75 
121.0	118.84 
122.1	121.21 
123.9	121.14 
121.4	119.37 
122.1	120.16 
117.1	115.39 
111.2	109.50 
120.6	117.83 
123.0	121.31 
121.8	121.77 
122.7	121.36 
121.3	118.54 
122.1	119.14 
123.9	120.76 
124.6	121.74 
122.1	120.37 
125.0	124.20 
123.5	122.85 
126.7	126.11 
120.4	121.03 
122.2	121.64 
121.1	119.90 
112.3	111.88 
116.0	113.99 
121.0	119.34 
122.2	118.85 
110.0	107.64 
124.0	121.22 
121.3	118.45 
126.8	122.75 
113.6	110.83 
122.1	121.22 
122.4	120.77 
123.0	120.99 
113.7	111.12
109.1	106.04
120.3	119.48
128.9	125.74
